Province,Province Name En,Province Name Ne,District Id,District Code,District Name En,District Name Ne,GAPA Id,GAPA Code,GaPa Name En,GaPa Name Ne,Total Wards
1,Province No. 1,प्रदेश १,14,114,Udayapur,उदयपुर,2,11402,Chaudandigadhi Municipality,चौदण्डीगढी नगरपालिका,10
1,Province No. 1,प्रदेश १,14,114,Udayapur,उदयपुर,3,11403,Triyuga Municipality,त्रियुगा नगरपालिका,16
1,Province No. 1,प्रदेश १,14,114,Udayapur,उदयपुर,4,11404,Rautamai Gaunpalika,रौतामाई गाउँपालिका,8
1,Province No. 1,प्रदेश १,14,114,Udayapur,उदयपुर,5,11405,Limchunbung Gaunpalika,लिम्चुङबुङ्ग गाउँपालिका,5
1,Province No. 1,प्रदेश १,14,114,Udayapur,उदयपुर,6,11406,Tapli Gaunpalika,ताप्ली गाउँपालिका,5
1,Province No. 1,प्रदेश १,14,114,Udayapur,उदयपुर,7,11407,Katari Municipality,कटारी नगरपालिका,14
1,Province No. 1,प्रदेश १,14,114,Udayapur,उदयपुर,8,11408,Udayapurgadhi Gaunpalika,उदयपुरगढी गाउँपालिका,8
2,Province No. 2,प्रदेश २,15,201,Saptari,सप्तरी,1,20101,Saptakoshi Municipality,सप्तकोशी नगरपालिका,11
2,Province No. 2,प्रदेश २,15,201,Saptari,सप्तरी,2,20102,Kanchanrup Municipality,कन्चनरुप नगरपालिका,12
2,Province No. 2,प्रदेश २,15,201,Saptari,सप्तरी,3,20103,Agnisair Krishna Sabaran Gaunpalika,अग्निसाइर कृष्ण सवरन गाउँपालिका,6
2,Province No. 2,प्रदेश २,15,201,Saptari,सप्तरी,4,20104,Rupani Gaunpalika,रुपनी गाउँपालिका,6
2,Province No. 2,प्रदेश २,15,201,Saptari,सप्तरी,5,20105,Shambhunath Municipality,शम्भुनाथ नगरपालिका,12
2,Province No. 2,प्रदेश २,15,201,Saptari,सप्तरी,6,20106,Khadak Municipality,खडक नगरपालिका,11
2,Province No. 2,प्रदेश २,15,201,Saptari,सप्तरी,7,20107,Surunga Municipality,सुरुङ्गा नगरपालिका,11
2,Province No. 2,प्रदेश २,15,201,Saptari,सप्तरी,8,20108,Balan-Bihul Gaunpalika,बलान बिहुल गाउँपालिका,6
2,Province No. 2,प्रदेश २,15,201,Saptari,सप्तरी,9,20109,Bode Barsain Municipality,बोदेबरसाईन नगरपालिका,10
2,Province No. 2,प्रदेश २,15,201,Saptari,सप्तरी,10,20110,Dakneshwori Municipality,डाक्नेश्वरी नगरपालिका,10
